Name,Market Cap,Alpha,Beta,5Y CAGR,D/E,EPS (Q),SCORE,Capability,b,c,d,e,f,g
RELIANCE,"16,45,671.87",-4.86,1,12.69,0.5,13.7,23,M,5,1,4,3,5,5
TCS,"14,14,726.49",-4.4,0.61,12.27,0.09,34.21,23,M,5,1,4,3,5,5
HDFCBANK,"12,98,771.00",-5.15,1.1,6.46,0,23.11,21,M,5,1,3,2,5,5
BHARTIARTL,"10,26,583.48",23.02,0.64,26.47,2.04,25.54,26,S,5,5,4,5,2,5
ICICIBANK,"8,82,070.18",7.85,1.27,18.21,0,18.26,26,S,4,5,3,4,5,5
INFY,"7,63,490.30",-3.65,0.81,18.4,0.09,16.43,23,M,4,1,4,4,5,5
SBIN,"6,49,399.98",2.64,1.3,17.32,0,21.12,24,M,4,3,3,4,5,5
HINDUNILVR,"5,45,457.61",-4.55,0.31,0.33,0.03,12.7,21,M,4,1,5,1,5,5
BAJFINANCE,"5,20,752.38",-2.76,1.89,11.89,3.82,68.63,17,R,4,2,2,3,1,5
ITC,"5,12,636.29",18.37,0.61,15.37,0,3.74,26,S,4,5,4,4,5,4
LICI,"4,96,385.82",-7.56,-,-,0,17.4,21,M,4,1,1,5,5,5
HCLTECH,"4,61,585.97",7.68,0.9,22.7,0.08,16.94,28,S,4,5,4,5,5,5
LT,"4,48,808.99",9.96,1.1,20.36,1.13,24.43,25,M,4,5,3,5,3,5
SUNPHARMA,"4,19,007.86",19.52,0.73,33.04,0.05,12.1,28,S,4,5,4,5,5,5
MARUTI,"3,98,388.93",7.54,0.87,12.59,0,118.54,25,M,3,5,4,3,5,5
KOTAKBANK,"3,92,230.15",-3.23,0.94,3.15,0,23.64,19,R,3,1,4,1,5,5
M&M,"3,57,115.60",33.16,1.24,41.04,1.34,28.51,24,M,3,5,3,5,3,5
ULTRACEMCO,"3,32,719.95",7.58,0.91,21.01,0.19,50.99,27,S,3,5,4,5,5,5
WIPRO,"3,22,731.27",-4.16,0.59,20.42,0.22,3.21,22,M,3,1,4,5,5,4
AXISBANK,"3,12,140.06",-0.3,1.51,6.16,0,21.79,19,R,3,2,2,2,5,5
NTPC,"2,97,396.75",22.1,0.89,21.64,1.44,5.22,25,M,3,5,4,5,3,5
ONGC,"2,95,573.66",8.71,0.98,17.4,0.42,6.85,26,S,3,5,4,4,5,5
BAJAJFINSV,"2,94,922.06",-4.2,1.94,13.73,2.78,14,16,HR,3,1,2,3,2,5
TITAN,"2,86,648.68",0.54,1.09,20.01,1.65,11.8,22,M,3,3,3,5,3,5
ADANIENT,"2,59,078.95",11.64,1.41,54.93,1.48,0.04,21,M,3,5,3,5,3,2
TATAMOTORS,"2,51,738.12",2.63,1.65,32.18,1.15,14.81,21,M,3,3,2,5,3,5
HAL,"2,44,791.71",50.6,1.14,57.23,0,21.53,26,S,3,5,3,5,5,5
BAJAJ-AUTO,"2,42,712.56",24.4,1.09,22.61,0.07,78.7,26,S,3,5,3,5,5,5
POWERGRID,"2,41,025.15",15.65,0.66,19.31,1.42,4.15,23,M,3,5,4,4,3,4
DMART,"2,40,543.48",-9.22,0.76,7.76,0.03,11.12,20,R,3,1,4,2,5,5
ADANIPORTS,"2,40,110.24",8.61,1.17,24.67,0.9,11.67,25,M,3,5,3,5,4,5
JSWSTEEL,"2,36,625.70",7.1,1.26,27.02,1.1,2.94,22,M,3,5,3,5,3,3
COALINDIA,"2,22,875.07",22.02,0.8,15.26,0.08,13.8,26,S,3,5,4,4,5,5
ASIANPAINT,"2,14,407.58",-19.13,0.76,3.6,0.13,11.58,19,R,3,1,4,1,5,5
NESTLEIND,"2,09,950.04",1.62,0.41,5.82,0.1,7.14,23,M,3,3,5,2,5,5
ZOMATO,"1,97,498.42",30,1.08,-,0.04,0.07,23,M,3,5,3,5,5,2
ADANIPOWER,"1,92,133.41",47.42,1.14,52.65,0.79,7.67,25,M,3,5,3,5,4,5
BEL,"1,91,187.27",39.97,0.62,55.9,0,1.79,25,M,3,5,4,5,5,3
TRENT,"1,86,872.65",49.38,1.24,48.24,0.43,13.99,26,S,3,5,3,5,5,5
SIEMENS,"1,81,808.42",19.75,0.78,29.16,0.02,17.26,27,S,3,5,4,5,5,5
HINDZINC,"1,73,998.64",9.18,0.54,16.64,0.57,6.34,25,M,3,5,4,4,4,5
VBL,"1,73,619.58",44.86,1.28,47.55,0.77,0.56,22,M,3,5,3,5,4,2
TATASTEEL,"1,70,088.12",-2.96,1.43,25.31,0.94,0.26,19,R,3,2,3,5,4,2
IOC,"1,69,567.83",7.07,0.95,9.44,0.7,1.54,21,M,3,5,4,2,4,3
GRASIM,"1,68,942.59",3.55,0.94,27.15,0.99,13.47,25,M,3,4,4,5,4,5
INDIGO,"1,68,667.72",17.23,0.91,24.75,25.69,63.38,23,M,3,5,4,5,1,5
DLF,"1,68,482.09",10.74,1.31,24.09,0.12,4.28,25,M,3,5,3,5,5,4
LTIM,"1,65,930.11",-8.79,1.14,22.62,0.1,36.65,22,M,3,1,3,5,5,5
VEDL,"1,65,829.89",-0.81,1.63,24.4,2.08,9.09,19,R,3,2,2,5,2,5
IRFC,"1,65,408.08",61.66,0.9,-,8.38,1.25,21,M,3,5,4,5,1,3
TECHM,"1,63,984.33",0.97,0.92,15.14,0.09,11.1,24,M,3,3,4,4,5,5
DIVISLAB,"1,59,559.89",10.3,0.59,22.76,0,22.2,27,S,3,5,4,5,5,5
SBILIFE,"1,47,357.19",2.76,1.01,9.65,0,5.5,21,M,3,3,3,2,5,5
JIOFIN,"1,44,889.75",-,-,-,0,0.46,21,M,3,5,1,5,5,2
ADANIGREEN,"1,44,740.97",-13.93,1.3,35.51,3.72,2.92,16,HR,3,1,3,5,1,3
PIDILITIND,"1,43,341.97",-1.89,0.69,12.3,0.04,10.86,22,M,3,2,4,3,5,5
HDFCLIFE,"1,35,506.48",-0.91,0.83,1.75,0.06,1.96,18,R,3,2,4,1,5,3
BAJAJHLDNG,"1,35,139.81",23.48,1.31,25.47,0,157.1,26,S,3,5,3,5,5,5
HINDALCO,"1,34,744.50",-1.84,1.8,25.28,0.53,17.59,21,M,3,2,2,5,4,5
EICHERMOT,"1,32,151.44",13.14,0.76,20.02,0.02,42.7,27,S,3,5,4,5,5,5
PFC,"1,26,888.91",39.99,1.11,30.69,6.42,17.66,22,M,3,5,3,5,1,5
AMBUJACEM,"1,23,771.95",9.51,0.75,19.23,0.01,8.59,26,S,3,5,4,4,5,5
CIPLA,"1,18,892.90",13.51,0.41,27.13,0.02,19.45,28,S,3,5,5,5,5,5
BRITANNIA,"1,17,753.28",7.8,0.63,9.29,0.52,24.15,23,M,3,5,4,2,4,5
TVSMOTOR,"1,17,516.18",35.79,0.63,40.96,3.46,11.91,23,M,3,5,4,5,1,5
LODHA,"1,17,008.78",15.23,0.79,-,0.44,9.48,27,S,3,5,4,5,5,5
CHOLAFIN,"1,16,944.74",17.21,1.71,32.78,6.86,12.95,21,M,3,5,2,5,1,5
ABB,"1,15,336.43",29.98,0.97,33.81,0.01,20.79,27,S,3,5,4,5,5,5
TATAPOWER,"1,11,149.89",5.86,1.24,44.46,1.4,3.22,23,M,3,5,3,5,3,4
